source_id,url,price_man_yen,layout,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count
78795901,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_78795901/,6180.0,3LDK,58.86,1980,4.0,12.0,東京都江東区牡丹１ [ ■ 周辺環境 ],門前仲町駅,3.0,28
79235583,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_79235583/,6180.0,2LDK,61.74,1981,4.0,9.0,東京都江東区門前仲町１ [ ■ 周辺環境 ],門前仲町駅,2.0,21
79165242,https://suumo.jp/ms/chuko/tokyo/sc_meguro/nc_79165242/,6080.0,1LDK,43.26,1977,5.0,12.0,東京都目黒区目黒２ [ ■ 周辺環境 ],中目黒駅,14.0,22
78832872,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_78832872/,6180.0,3LDK,70.53,2005,3.0,7.0,東京都練馬区貫井４-14-18 [ ■ 周辺環境 ],中村橋駅,11.0,21
79165635,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_79165635/,6180.0,3LDK,70.53,2005,3.0,7.0,東京都練馬区貫井４ [ ■ 周辺環境 ],中村橋駅,11.0,27
20125883,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20125883/,6180.0,2LDK,60.13,2007,3.0,3.0,東京都大田区仲池上２-5-24 [ ■ 周辺環境 ],西馬込駅,6.0,20
20127697,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20127697/,6090.0,2LDK,63.9,2001,2.0,6.0,東京都大田区上池台５ [ ■ 周辺環境 ],長原駅,11.0,22
20164841,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20164841/,6080.0,2LDK,53.14,2004,2.0,6.0,東京都大田区千鳥１-10-3 [ ■ 周辺環境 ],千鳥町駅,6.0,21
20353895,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20353895/,6090.0,2LDK,63.9,2001,2.0,6.0,東京都大田区上池台５-5-9 [ ■ 周辺環境 ],長原駅,11.0,35
20354097,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20354097/,6180.0,2LDK,60.13,2007,3.0,3.0,東京都大田区仲池上２-5-24 [ ■ 周辺環境 ],西馬込駅,6.0,33
78954150,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_78954150/,6090.0,2LDK,63.9,2001,2.0,6.0,東京都大田区上池台５ [ ■ 周辺環境 ],長原駅,11.0,27
78980133,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_78980133/,6090.0,2LDK,63.9,2001,2.0,6.0,東京都大田区上池台５ [ ■ 周辺環境 ],長原駅,11.0,27
78991889,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_78991889/,6090.0,2LDK,63.9,2001,2.0,6.0,東京都大田区上池台５ [ ■ 周辺環境 ],長原駅,11.0,33
79031987,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_79031987/,6090.0,2LDK,63.9,2001,2.0,1.0,東京都大田区上池台５-5-9 [ ■ 周辺環境 ],長原駅,11.0,21
79102642,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_79102642/,6090.0,2LDK,63.9,2001,2.0,6.0,東京都大田区上池台５-5-9 [ ■ 周辺環境 ],長原駅,11.0,21
79163595,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_79163595/,6080.0,2LDK,53.14,2004,2.0,6.0,東京都大田区千鳥１ [ ■ 周辺環境 ],千鳥町駅,6.0,22
79187404,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_79187404/,6080.0,2LDK,48.48,1983,15.0,15.0,東京都大田区大森中２-2-18 [ ■ 周辺環境 ],梅屋敷駅,1.0,23
79216125,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_79216125/,6099.0,2LDK,59.92,1982,12.0,14.0,東京都大田区大森本町２ [ ■ 周辺環境 ],平和島駅,3.0,22
79228741,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_79228741/,6099.0,2LDK,59.92,1982,12.0,14.0,東京都大田区大森本町２ [ ■ 周辺環境 ],平和島駅,3.0,27
79221077,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_79221077/,6090.0,2LDK,60.48,1999,2.0,6.0,東京都世田谷区成城９ [ ■ 周辺環境 ],成城学園前駅,19.0,21
78550868,https://suumo.jp/ms/chuko/tokyo/sc_suginami/nc_78550868/,6180.0,3LDK,63.3,1984,3.0,7.0,東京都杉並区高井戸東４ [ ■ 周辺環境 ],高井戸駅,12.0,31
78818603,https://suumo.jp/ms/chuko/tokyo/sc_suginami/nc_78818603/,6180.0,1LDK,53.58,2011,3.0,4.0,東京都杉並区下高井戸３ [ ■ 周辺環境 ],桜上水駅,6.0,22
