source,source_id,url,price_man_yen,layout,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,interior_image_count
suumo,78806251,https://suumo.jp/ms/chuko/saitama/sc_kawaguchi/nc_78806251/,6999,3LDK,,2001,3,20,埼玉県川口市飯塚２,川口駅,5,5
suumo,78902879,https://suumo.jp/ms/chuko/saitama/sc_kawaguchi/nc_78902879/,3390,3LDK,,1986,5,7,埼玉県川口市元郷１-6-23,川口元郷駅,6,18
suumo,79048616,https://suumo.jp/ms/chuko/saitama/sc_kawaguchi/nc_79048616/,3480,2LDK,,2000,2,8,埼玉県川口市中青木５-2-32,西川口駅,14,18
suumo,79108223,https://suumo.jp/ms/chuko/saitama/sc_kawaguchi/nc_79108223/,2380,3LDK,,1988,2,6,埼玉県川口市東川口６-13-27,東川口駅,11,15
suumo,79194020,https://suumo.jp/ms/chuko/saitama/sc_kawaguchi/nc_79194020/,6299,1LDK,,2013,4,10,埼玉県川口市金山町,川口駅,9,2
suumo,78435359,https://suumo.jp/ms/chuko/saitama/sc_misato/nc_78435359/,1080,2LDK,,1974,3,5,埼玉県三郷市彦成３-8-5,吉川美南駅,26,13
suumo,20245657,https://suumo.jp/ms/chuko/saitama/sc_niiza/nc_20245657/,2890,3LDK,,1987,6,10,埼玉県新座市野火止７,志木駅,22,0
suumo,20356470,https://suumo.jp/ms/chuko/saitama/sc_niiza/nc_20356470/,2590,3LDK,,1995,3,12,埼玉県新座市畑中１,,,0
suumo,78016629,https://suumo.jp/ms/chuko/saitama/sc_soka/nc_78016629/,3680,4LDK,,1989,3,7,埼玉県草加市氷川町,草加駅,10,11
suumo,20107693,https://suumo.jp/ms/chuko/saitama/sc_toda/nc_20107693/,4490,3LDK,,1996,5,14,埼玉県戸田市下前２,戸田公園駅,15,16
suumo,20229328,https://suumo.jp/ms/chuko/saitama/sc_toda/nc_20229328/,1599,2LDK,,1979,3,10,埼玉県戸田市美女木１,武蔵浦和駅,32,18
suumo,20003050,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20003050/,3750,1LDK,,2023,2,8,東京都足立区谷在家２,西新井大師西駅,5,36
suumo,20007605,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20007605/,3998,3LDK,,1998,1,8,東京都足立区東和５,北綾瀬駅,12,7
suumo,20007606,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20007606/,4080,2LDK,,2008,1,6,東京都足立区中川１,亀有駅,11,28
suumo,20016965,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20016965/,3180,1LDK,45.0,1975,7,9,東京都足立区千住曙町,京成関屋駅,1,28
suumo,20019107,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20019107/,3799,3LDK,,1994,6,6,東京都足立区綾瀬５,綾瀬駅,10,37
suumo,20022035,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20022035/,3580,3LDK,,2002,1,10,東京都足立区島根２,西新井駅,18,41
suumo,20031008,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20031008/,2400,3LDK,,1977,12,14,東京都足立区大谷田２,北綾瀬駅,22,39
suumo,20031019,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20031019/,3190,1LDK,,2018,8,11,東京都足立区谷在家１,谷在家駅,4,47
suumo,20040373,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20040373/,2790,1LDK,,2019,2,9,東京都足立区入谷２,舎人駅,12,46
suumo,20060885,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20060885/,4780,2LDK,,2000,1,5,東京都足立区綾瀬１,綾瀬駅,8,33
suumo,20062815,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20062815/,3690,3LDK,,1993,2,9,東京都足立区西保木間２,竹ノ塚駅,15,31
suumo,20071087,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20071087/,2180,2LDK,,1988,5,14,東京都足立区辰沼２,,,53
suumo,20092259,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20092259/,3199,3LDK,,1995,1,8,東京都足立区西新井５,大師前駅,11,45
suumo,20101205,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20101205/,1480,1K,,1988,4,4,東京都足立区栗原２,西新井駅,10,0
suumo,20102115,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20102115/,4200,2DK,,1985,5,8,東京都足立区綾瀬５,綾瀬駅,7,37
suumo,20112549,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20112549/,2698,2LDK,,1985,1,5,東京都足立区栗原４,西新井駅,14,44
suumo,20115178,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20115178/,2999,3LDK,,1978,3,13,東京都足立区中央本町１,梅島駅,10,52
suumo,20115854,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20115854/,2590,1LDK,,1976,3,11,東京都足立区中央本町３,五反野駅,11,45
suumo,20120734,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20120734/,3498,3LDK,,1997,8,1,東京都足立区東伊興３,竹ノ塚駅,11,7
suumo,20147384,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20147384/,3080,2LDK,,1995,5,6,東京都足立区花畑５,谷塚駅,12,47
suumo,20157241,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20157241/,4480,3LDK,,2011,5,13,東京都足立区西保木間１,竹ノ塚駅,15,55
suumo,20162716,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20162716/,3680,2LDK,,1993,3,5,東京都足立区中川１-14-5,亀有駅,12,33
suumo,20179214,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20179214/,2980,3LDK,,1979,1,6,東京都足立区江北４-29-12,江北駅,4,50
suumo,20191033,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20191033/,4980,3LDK,,1985,4,11,東京都足立区千住橋戸町,千住大橋駅,6,41
suumo,20193280,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20193280/,2899,2LDK,,1996,7,7,東京都足立区鹿浜６,西新井大師西駅,13,39
suumo,20194400,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20194400/,3280,2LDK,,1996,2,5,東京都足立区梅田５-24-1,梅島駅,9,5
suumo,20209274,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20209274/,2890,3LDK,,1988,4,11,東京都足立区一ツ家２,六町駅,15,40
suumo,20223754,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20223754/,2780,2LDK,,1983,9,11,東京都足立区小台１,足立小台駅,4,45
suumo,20224341,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20224341/,1798,1LDK,,1977,9,11,東京都足立区足立４,五反野駅,9,16
suumo,20253514,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20253514/,3498,2LDK,,1997,2,7,東京都足立区加平３,北綾瀬駅,8,35
suumo,20255474,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20255474/,3480,1LDK,,1997,4,11,東京都足立区千住仲町,千住大橋駅,7,1
suumo,20264121,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20264121/,2990,3LDK,,1991,2,7,東京都足立区大谷田２,北綾瀬駅,19,57
suumo,20271213,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20271213/,3198,2LDK,,1995,1,7,東京都足立区大谷田５,北綾瀬駅,17,7
suumo,20274727,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20274727/,4099,3LDK,,1987,4,6,東京都足立区中央本町３,五反野駅,10,56
suumo,20277732,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/,2390,2LDK,,1989,4,4,東京都足立区六月１,竹ノ塚駅,16,41
suumo,20278008,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20278008/,3290,3LDK,,1987,5,9,東京都足立区足立２,小菅駅,3,38
suumo,20288731,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20288731/,3880,3LDK,,2002,6,6,東京都足立区西保木間２,竹ノ塚駅,16,48
suumo,20289450,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20289450/,3280,3DK,,1988,3,5,東京都足立区六木１,北綾瀬駅,20,40
suumo,20290107,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20290107/,4750,2LDK,,2007,4,11,東京都足立区梅島１,梅島駅,7,39
suumo,20293487,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20293487/,2980,3LDK,,1992,4,14,東京都足立区西保木間３,竹ノ塚駅,23,37
suumo,20309660,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20309660/,2898,2LDK,,1983,2,4,東京都足立区綾瀬６,北綾瀬駅,10,45
suumo,20319393,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20319393/,4290,3LDK,,1987,6,8,東京都足立区綾瀬６,綾瀬駅,12,51
suumo,20320218,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20320218/,3990,2LDK,,1992,2,13,東京都足立区千住河原町,千住大橋駅,3,71
suumo,20321207,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20321207/,2399,1LDK,,1990,2,5,東京都足立区西綾瀬１,小菅駅,5,26
suumo,20324263,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20324263/,4180,3LDK,,1980,3,14,東京都足立区千住関屋町17-15,北千住駅,14,55
suumo,20327528,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20327528/,3980,4LDK,,1989,4,7,東京都足立区西保木間２,竹ノ塚駅,14,30
suumo,20331076,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20331076/,2398,2LDK,,1983,4,8,東京都足立区保木間１,竹ノ塚駅,20,33
suumo,20332918,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20332918/,1580,1DK,,1976,6,9,東京都足立区東和５,北綾瀬駅,12,39
suumo,20333913,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20333913/,4290,3LDK,,1977,9,9,東京都足立区綾瀬２,綾瀬駅,4,40
suumo,20336487,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20336487/,3480,3LDK,,1995,3,6,東京都足立区江北６,西新井大師西駅,6,30
suumo,20340216,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20340216/,2400,3LDK,,1991,7,10,東京都足立区小台１,足立小台駅,8,12
suumo,20340904,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20340904/,4380,2LDK,,1985,7,8,東京都足立区東和５,北綾瀬駅,9,26
suumo,20341785,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20341785/,3980,3LDK,,1982,11,12,東京都足立区梅田７,梅島駅,6,40
suumo,20344541,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20344541/,2680,1DK,,1989,2,3,東京都足立区綾瀬６,綾瀬駅,14,38
suumo,20344616,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20344616/,2380,2LDK,,1974,3,8,東京都足立区梅田７-22-9,梅島駅,7,39
suumo,20349122,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20349122/,3980,3LDK,,1988,11,12,東京都足立区大谷田３,北綾瀬駅,12,28
suumo,20353890,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20353890/,3480,3LDK,,1988,6,12,東京都足立区大谷田３-12-23,北綾瀬駅,12,58
suumo,20355302,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20355302/,4499,4LDK,86.3,2003,1,12,東京都足立区新田２-9-22,王子神谷駅,13,50
suumo,20355910,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20355910/,4680,1LDK,,1996,8,1,東京都足立区綾瀬３,綾瀬駅,3,25
suumo,78051849,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78051849/,4799,2LDK,,2000,3,1,東京都足立区千住曙町,堀切駅,2,41
suumo,78066270,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78066270/,2699,2LDK,,1985,4,6,東京都足立区綾瀬７,北綾瀬駅,10,42
suumo,78099230,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78099230/,3599,2LDK,,1991,9,9,東京都足立区梅島２-20-9,梅島駅,7,22
suumo,78265621,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78265621/,4980,4LDK,,2007,2,15,東京都足立区新田３-29-1,王子神谷駅,18,17
suumo,78322402,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78322402/,3180,3LDK,,1997,4,11,東京都足立区西新井２,大師前駅,13,40
suumo,78385243,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78385243/,1700,2DK,,1985,1,5,東京都足立区青井１-16-9,青井駅,10,24
suumo,78385251,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78385251/,2790,1LDK,,2019,2,9,東京都足立区入谷２-23-8,舎人駅,12,23
suumo,78431744,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78431744/,4799,2LDK,,2000,3,1,東京都足立区千住曙町,堀切駅,2,49
suumo,78562693,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78562693/,2580,1LDK,,1989,4,4,東京都足立区六月１-36-20,竹ノ塚駅,14,39
suumo,78725449,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78725449/,3880,3LDK,,1980,5,11,東京都足立区扇３,江北駅,4,47
